Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
NS-158,1336,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Properly operate portable and installed shipboard fire extinguishing systems and equipment,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-159,1337,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for operation of portable and installed dewatering equipment,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Demonstrate procedures to prevent and extinguish fires while wearing breathing protection, using a firefighting trainer",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-160,1338,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Properly don and operate a Self-Contained Breathing Apparatus (SCBA),All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Describe the procedures to follow when discovering a shipboard fire,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-161,1339,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the hazards associated with firefighting,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify the purpose of watertight compartments,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-162,1340,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to determine the four classes of fire,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Define the term watertight integrity,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-163,1341,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the recommended extinguishing agents for each class of fire,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify Emergency Escape Breathing Device (EEBD) and Self-Contained Breathing Apparatus (SCBA) components and their donning, activating, and safety precautions",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-164,1342,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the function and use of the Self-Contained Breathing Apparatus (SCBA),All Sailor Task (ships),No,V-9B-0003A,Basic Shipboard Damage Control Wet Trainer (Buttercup),G-School,SWSCOLCOM,TCCD,Identify the functions of the scene leader and each damage control team,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-165,1343,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the fire triangle and fire tetrahedron in terms of fire prevention and firefighting,All Sailor Task (ships),No,V-9B-0003A,Basic Shipboard Damage Control Wet Trainer (Buttercup),G-School,SWSCOLCOM,TCCD,"Identify procedures for shoring, hull patching/plugging, and piping systems Damage Control tasks",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-166,1344,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the conditions that cause spontaneous combustion,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify the characteristics of the General, Chemical, and Collision Emergency alarms and what to do when they sound",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-167,1345,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to prevent fires through good housekeeping practices,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify the characteristics of the General, Chemical, and Collision Emergency alarms and what to do when they sound",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-168,1346,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to report a fire or other casualties,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify the meanings and reasons for setting Navy material conditions of readiness (X-ray, Yoke, Zebra, Dog Zebra, Circle William)",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-169,1347,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose for compartmentation and its use in maintaining watertight integrity,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Describe the purpose, characteristics, operating procedures and safety precautions for fire extinguishing agents used onboard ships and their components",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-170,1348,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for breaking watertight integrity and darken ship,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Know the general firefighting procedures and fire party organization in accordance with applicable Navy instructions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-171,1349,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to use and stow Emergency Escape Breathing Devices (EEBD) and/or Emergency Air Breather (EAB) devices,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify the methods of DC communications and their descriptions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-172,1350,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the duties and responsibilities of a repair party,All Sailor Task (ships),No,V-9B-0003A,Basic Shipboard Damage Control Wet Trainer (Buttercup),G-School,SWSCOLCOM,TCCD,Use repair locker equipment,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-173,1351,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the shipboard piping identification coding system,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify the duties of persons assigned to a fire party,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-174,1352,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose and precedence of shipboard emergency alarms,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform emergency egress during a fire drill,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-175,1353,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know what actions to take when emergency alarms are sounded,All Sailor Task (ships),No,V-9B-0003A,Basic Shipboard Damage Control Wet Trainer (Buttercup),G-School,SWSCOLCOM,TCCD,Use repair locker equipment,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-176,1354,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the letters, symbols, conditions, purpose, and how to set material conditions of readiness",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-177,1355,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for operation of portable and installed shipboard fire extinguishing system,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Explain military order and discipline and its relationship to the Navy Core Values,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-178,1356,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the damage control organization,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Explain military order and discipline and its relationship to the Navy Core Values,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-179,1357,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the methods and procedures for communications in a damage control situation,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-180,1358,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to locate shipboard damage control lockers and equipment,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify the purpose of the Articles of the Code of Conduct,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-181,1359,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the duties and responsibilities of a damage control emergency party,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify the purpose of the U.S. Navy Regulations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-182,1360,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to establish a safe route during casualty situations,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify the definition, purpose and who is subject to provisions of the Uniform Code of Military Justice (UCMJ)",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-183,1361,ALL,E2,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to stow all damage control equipment,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-184,1362,ALL,E2,A,General Sailor,Material Preservation and Maintenance,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purposes of cleaning and preservation,All Sailor Task (ships),No,A-500-0613,LifeSkills,A-School,"
CENSERVSUPP",CTTL,Use appropriate grievance and redress procedure,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-185,1363,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Inform Chain of Command on matters pertaining to good order and discipline,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify navy leave and liberty benefits,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-186,1364,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose of good order and military discipline,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-187,1365,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Understand the authority and function of Military Police, Shore Patrol, Chief of the Guard, and Armed Sentries",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss Navy Career Development,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-188,1366,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the content and responsibilities stated in Article (i) through (vi) of the Code of Conduct for members of the Armed Forces of the United States,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-189,1367,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the general content of Navy Regulations, Chapter 8 (Articles 0801-0803, 0810-0816, 0825-0826, 0829-0830, 0834 and a0847) and Chapter 10",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-190,1368,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the general content of Uniform Code of Military Justice (UCMJ) Articles 2, 3, 7-15, 25, 27, 31(b), 37, 55, 77-134, 137-138",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-191,1369,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the types of courts-martial,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss Navy educational opportunities,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-192,1370,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for redress of grievances,All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,Develop a financial plan,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-193,1371,ALL,E2,A,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose of the liberty risk program,All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,"Review Leave and Earnings Statement (LES), including pay, allowances, allotments and deductions, for accuracy",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-194,1372,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide enlisted evaluation report input sheet (brag sheet),All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,Develop an insurance plan,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-195,1373,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose and procedures of a Career Development Board (CDB),All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,Apply to appropriate TRICARE benefits,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-196,1374,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose of various force shaping programs,All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,"Obedient, willingfully follows procedures, rules and regulations; respects authority",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-197,1375,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the requirements for advancement of Professional A Career Track (PACT) personnel,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify navy leave and liberty benefits,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-198,1376,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose of the enlisted performance evaluation system,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss the Process of Transferring Duty Stations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-199,1377,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the opportunities for education and training,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss administrative Navy records management systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-200,1378,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to manage personal finances,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-201,1379,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know military pay entitlements and the contents of leave and earning statements,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Recognize the purpose of the U.S. Navy Regulations, the types of Punitive and Administrative discharges, and the reasons for General and Other Than Honorable discharges",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-202,1380,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the benefits of government insurance,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss the ways to use alcohol appropriately,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-203,1381,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the rights, privileges, and benefits afforded to family members",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Adhere to the Navy Standard to not Abuse Drugs,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-204,1382,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures and regulations governing leave and liberty requests,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-205,1383,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to prepare and route liberty requests,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-206,1384,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the types of duty classification codes,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss the Fundamentals of Navy Leadership ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-207,1385,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the contents of and how to access the Official Military Personnel File (OMPF) and Electronic Service Record (ESR),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-208,1386,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the requirements for the good conduct medal,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-209,1387,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the requirements for and the benefits and consequences of various types of military discharges,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-210,1388,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the policy regarding personal responsibilities and consequences of drug and alcohol abuse,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-211,1389,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the role of the Command Drug and Alcohol Programs Advisor (DAPA),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-212,1390,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the programs that lead to Navy Officer commissions,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-213,1391,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the options for special programs and/or assignments,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-214,1392,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the roles and functions of M Chief Petty Officer of The Navy (MCPON), Fleet/Force (FLTCM/FORCM) and Command M Chief (CMDCM)",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-215,1393,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the function of the Command Career Counselor (CCC),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-216,1394,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to prepare leave requests via the Navy Standard Integrated Personnel System (NSIPS),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-217,1395,ALL,E2,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the purpose, components, and links to Navy Knowledge Online (NKO) and Naval Personnel Command (NPC) websites",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-218,1396,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Maintain qualification records,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Comprehend which ships of the U.S. Navy were made famous through significant events,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-219,1397,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the function of the Personnel Qualification Standard (PQS) system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-220,1398,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the function of the departmental and division training petty officer,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Understand the importance of the navy core values, sailor's creed, core attributes, and ethos IAW U.S. Navy regulations",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-221,1399,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the function of the Educational Services Officer (ESO),All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Define the chain of command and its purpose,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-222,1400,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Be familiar with the purpose and utilization of the Learning and Development Roadmap (LaDR),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-223,1401,ALL,E2,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Explain the procedures to access your Learning and Development Roadmap (LaDR),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-224,1402,ALL,E2,A,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform the basic procedures outlined in the Maintenance and Material Management (3M),All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Know the purpose and meaning of Navy Core Values,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-225,1403,ALL,E2,A,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the purpose of the Maintenance and Material Management (3M) systems,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Comprehend the provisions of the Law of Armed Conflict, Articles of the Code of Conduct, and the Geneva Convention",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-226,1404,ALL,E2,A,General Sailor,Sea Power,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know general Naval history and the evolution of today's Navy,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Comprehend the provisions of the Law of Armed Conflict, Articles of the Code of Conduct, and the Geneva Convention",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
