,PART I,,,,,,,,,,PART II,,,,,,,,,,,
87d224a2-f0f0-4f69-9f98-fde3a47f2e68,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond excessive pump discharge pressure Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
95c600ed-f22e-4f59-a24a-d81510298f30,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to filter separator automatic shutoff valve closes Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
29457113-b146-47bc-9ef3-01fc59dff886,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to fire Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
77125a16-f1ad-42be-b636-ca83fd4fbb5e,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to flooding Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
84c11265-ed2c-4821-92bd-561a9948ef07,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to gross contamination Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
b04a6395-c940-4ec0-a864-22e7771c1029,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Inspect and install coalescer elements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
db778831-f308-49d6-8405-428f12d9a409,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to leaks Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
02f3baa9-d97e-4fd1-98d9-4116be1f79bc,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to loss of electrical power Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
bf8d7496-f789-44be-bbf1-f66066ecdf13,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Maintain logs and records,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports","Knowledge/Performance Test, Oral Board/Test",,,,N/A
e614611f-d16f-4a12-85fe-b52aac6592b2,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Monitor and record filter differential pressures,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
56164d9c-2cb1-4a60-b553-bef7a70075ae,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Monitor pressure gages,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
13979027-7ac5-4446-ba13-4a63df116736,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Monitor/operate TLI/RTLI,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
17261ab6-006c-4048-9632-eb8334de0e6a,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Offload/transfer JP-5 to tanker or barge,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
96a02448-163f-4f4c-9093-39ecae46ddb1,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Prepare JP-5 tanks for cleaning,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
aba05e54-7f8e-448b-bcc7-49db77ad5834,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Describe Pump overheating Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
43b7d89d-3f02-4e0a-a266-ca414a9ad440,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Receive fuel from tanker/barge,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
2a9781ac-a5ce-4b94-a93f-a323ffb9a334,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to ruptured piping Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
fbe9ccea-52be-4596-a975-1dbfdce34082,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Secure pump room in accordance with AFOSS,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
5e877d25-d1af-4063-bd07-f9b08f4d5482,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to solids in filter separator sump Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e314e066-779d-49ac-9140-c1cfe6bf289c,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Sound tanks and provide readings to JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e9a5a4ef-ab71-4a85-a6f1-3547b98fe979,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Strip service tanks,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
48650867-8148-44c6-8bba-f87c2cedd1ec,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Strip stowage tanks,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
2346b488-7ec6-4b18-9144-4dce963b0d10,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Test and install separator elements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
cf52246b-275b-4abb-a7b4-eb136ba4ccbd,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Transfer fuel for fueling small boats,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
7300257f-26cd-4a4f-b40b-f5cca066fc4a,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Transfer fuel to emergency diesel/NR 3 Gas Turbine Generator (GTG)/Gas Turbine Motor (GTM),Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Revise PQS as this does not align to an ABF - GT ship for GTG/GTM
36c6d843-34a3-4050-9ae3-0aa6b1e33bdf,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Validate AFOSS Diagrams,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
046cd244-35e0-4876-89c6-b472abc579f8,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Vent filter,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
7c2b6a45-dd4e-4456-842e-0e20b79fa9a5,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Respond to ventilation failure Alarms/Limitations/Emergencies for JP-5 Pump Room Operator,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
8db5895e-ddac-44d2-a0b2-34dfa36fa071,ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Verify firefighting equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e2ab0aa5-dd46-4ec6-9ef6-16679ffed702,ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (305 - JP-5 Pump Room Operator),2/1/2011,300 Series PQS Watch Station,Verify ventilation,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
7b4f98c0-a10c-4d81-a5fe-e3dda37b8b35,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Develop and maintain Training Program,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
b279cf7f-625a-4424-9485-69f2a19b09f7,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Estimate/Prepare fuel receipt/offload requirements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
6f61d387-49a7-4b1a-8f5a-6e77a7892017,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to flight Deck fire Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
48565466-cfa1-4630-9edd-64fcfad4b93d,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to flooding Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
02335580-11aa-460a-a556-46adb83e0eed,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Inform Chain of Command of equipment status,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
9820cac4-0566-4412-a82c-b1a5abbfc88e,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to Inoperative equipment/machinery Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
44d619b2-c062-4dc5-ab34-9b1020df8d92,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Describe JP-5 spills Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
fe69065b-d3eb-4084-9619-0d50d8f221ba,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Maintain aviation certification requirements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
881678ee-33dd-4fbb-b409-6c598f4e2203,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Maintain Daily Fuel Inventory Log,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
aec24991-6dae-400f-8474-043ca183d4ae,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,"Maintain fueling memorandum issue, receipts, and defuel chits",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
4703cf7d-93a2-402e-94f5-b8510bae737e,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Maintain/update Allowance Equipage List (AEL)/Allowance Parts list (APL) for all equipment and supplies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
1c10f1c5-060d-4f67-a53e-ef21fba7161f,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Monitor fuel Quality Assurance Log,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,CTTL,"Monitor fuel quality surveillance
procedures","Knowledge/Performance Test, Oral Board/Test",,,,N/A
c3312f89-5691-4dc0-a934-c6a1f7d2a8f5,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Offload JP-5,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
73cbf0df-7c7a-4159-9898-876a50fb46e7,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare a checkoff list for refueling at sea,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
0631529e-d96c-40e9-a74d-33fa6932d889,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare a checkoff list for refueling in-port,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
63fe88e5-85ce-4a24-8555-0676a568b271,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare at sea refueling watch bill,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
8db69e64-cafd-4f20-b799-ba48b5eb8cb1,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare Helicopter Refueling Checkoff List (if applicable),Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
c7540c58-6baf-4a7b-8c7d-82c662acc4f9,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare helicopter refueling watch bill,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
cf0e4e09-ce5d-4886-80b7-e2c8b2cc401c,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Prepare in-port refueling watch bill,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
f1697b71-ad63-4fda-a341-2711a1af1e00,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to pump room fire Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ff5ceecc-649a-447d-9e3b-fd9bbaaa9348,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Describe refueling ship to ship,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
d917b90d-ea0b-4973-9d02-b824eb8e7edb,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Review Fuel Quality Surveillance Program,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e09ad9cd-63e4-4c21-aeb5-1f16d9fb3fa4,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to Shipboard Emergencies Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
4e680d8a-b6e5-44a7-96c9-d1a72988b5e4,ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Respond to tank ruptures Alarms/Limitations/Emergencies for JP-5 Supervisor,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
d78241bd-9e20-470a-a9d5-ff2db268c43c,ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (306 - JP-5 Supervisor),2/1/2011,300 Series PQS Watch Station,Verify concurrence of regulations for pollution abatement and control,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
87d80901-47ec-42bf-b5fa-7e2733c19696,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to excessive differential pressure limitations/Alarms/Emergencies for Fuel Farm,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
967ce93f-cd58-4e58-aa41-a3d1c4c6be72,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to fire limitations/Alarms/Emergencies for Fuel Farm,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e9ce0998-8356-44ee-aa87-7435335de09a,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to fuel spills/leaks/ruptures limitations/Alarms/Emergencies for Fuel Farm ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
bdf2cf6f-1be8-4e67-a777-9a1ac91669e5,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Perform Gauging/sounding of tanks,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
c02d6d9d-2208-4b0a-9fcf-ff7ac86ca501,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to inclement weather Operating limitations/Alarms/Emergencies for Fuel Farm ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
a11a5c9d-e5db-4399-b005-6a65fa85f1fa,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to inclement weather Operating limitations/Alarms/Emergencies for Fuel Farm ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
6702ff7a-d4aa-4c63-bf78-66bf5949d393,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to loss of communications limitations/Alarms/Emergencies for Fuel Farm ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
24218262-1ed8-4508-8fcd-36c79f08868c,ABF,E1,A,Aviation Fuels Shore Base Operations Technician,Shore Refuel,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (301 - Fuel Farm Familiarization),9/1/2004,300 Series PQS Watch Station,Respond to loss of electrical power limitations/Alarms/Emergencies for Fuel Farm ,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
