Index #,Rating,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach
NEC2-115,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine and Describe the type of buoyage system used in a particular geographic region,Knowledge/Performance Test
NEC2-116,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Determine if the ship is ahead, behind, or on PIM",Knowledge/Performance Test
NEC2-117,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the characteristics of a selected nautical light,Knowledge/Performance Test
NEC2-118,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the difference in time between the two points,Knowledge/Performance Test
NEC2-119,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the effect of Daylight Savings Time on Zone Time and Local Mean Time,Knowledge/Performance Test
NEC2-120,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the geographic range of a lighted aid,Knowledge/Performance Test
NEC2-121,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the predicted visibility of a selected nautical light and the distance at which the light should first be sighted,Knowledge/Performance Test
NEC2-122,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the ship's position in relation to PIM,Knowledge/Performance Test
NEC2-123,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine when to shift Time and Date in order to minimize impact to the ship,Knowledge/Performance Test
NEC2-124,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain how a navigational datum is used to translate the irregular surface of the earth into a common reference system usable in both piloting and satellite navigation ,Knowledge/Performance Test
NEC2-125,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Explain how time and timekeeping is required to both establish a ship's position on the earth in all types and phases of navigation, and to develop a safe voyage plan",Knowledge/Performance Test
NEC2-126,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Explain the common reference system Navigators use to describe a position on the Earth, as well as distances and directions between two points ",Knowledge/Performance Test
NEC2-127,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Explain the common reference system Navigators use to represent the Earth, and the types of navigation mariners use to establish their position on it",Knowledge/Performance Test
NEC2-128,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Explain the inter-relation between Dead Reckoning, Piloting, Celestial Navigation, and Electronic navigation",Knowledge/Performance Test
NEC2-129,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Explain when during the transit the navigation team would enter a new navigational phase (Restricted, Piloting, Coastal, Open Ocean) ",Knowledge/Performance Test
NEC2-130,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a date, time, and position, calculate the height of tide at any time using the Tide Tables within +/-0.2 ft of error at both Index station and Subordinate Station locations  (TO)",Knowledge/Performance Test
NEC2-131,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a date, time, and position, calculate the height of tide using the Tide Tables within +/-0.2 ft of error at both Index station and Subordinate Station locations  (TO)",Knowledge/Performance Test
NEC2-132,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a date, time, and position, calculate the speed and direction of current using the Tidal Current Tables within +/-0.2 kts and 10 degrees of direction respectively at both Index Stations and Subordinate Stations   (TO)",Knowledge/Performance Test
NEC2-133,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a date, time, and position, calculate the speed of the current at any time using the Tide Tables within +/- 0.2 Knots of error at both Index station and Subordinate Station locations  (TO)",Knowledge/Performance Test
NEC2-134,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a specific date, time, and position, Explain the importance of properly calculating height of tide with regards to safe navigation (EO)",Knowledge/Performance Test
NEC2-135,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a specific date, time, and position, Explain the importance of properly calculating the current state with regards to safe navigation (EO)",Knowledge/Performance Test
NEC2-136,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Identify the available aids to navigation, their characteristics, and purposes",Knowledge/Performance Test
NEC2-137,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify the information available to the Navigator,Knowledge/Performance Test
NEC2-138,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify the most applicable projection to use for navigation (Gnomic/ Mercator),Knowledge/Performance Test
NEC2-139,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Identify the most applicable type(s) of navigation to use (Dead Reckoning, Piloting, Celestial Navigation, and Electronic navigation) ",Knowledge/Performance Test
NEC2-140,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"LABEL DR tracks, LOPs, and fixes",Knowledge/Performance Test
NEC2-141,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Plot a range Line of Position within 50 yds,Knowledge/Performance Test
NEC2-142,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Plot a vessel's position and intended track with less than 0.1NM error,Knowledge/Performance Test
NEC2-143,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Plot a visual Line of Position within 0.5 degrees of error,Knowledge/Performance Test
NEC2-144,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Plot the position on a chart with less than 0.1NM error,Knowledge/Performance Test
NEC2-145,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a set of observable weather conditions, properly fill out a weather observation sheet for a synoptic weather message IAW NAVDORM",Knowledge/Performance Test
NEC2-146,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a tropical disturbance, depression, storm, or hurricane in the Northern Hemisphere, identify the most dangerous semicircle and quadrant",Knowledge/Performance Test
NEC2-147,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Cove Simulator, the student will safely direct his Nav team and the vessel through a portion of one of the Navy’s major ports transits",Knowledge/Performance Test
OC-001,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Adjust radar scope presentation to align with navigation charts,Knowledge/Performance Test
OC-002,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test
OC-003,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate maneuvering board solutions for wind problems,Knowledge/Performance Test
OC-004,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate times for moonrise/moonset & sunrise/sunset,Knowledge/Performance Test
OC-005,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate compensating course/speed; calculate correcting course/speed,Knowledge/Performance Test
OC-006,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate danger bearings and ranges,Knowledge/Performance Test
OC-007,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate relative bearings,Knowledge/Performance Test
OC-008,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Calculate set and drift,Knowledge/Performance Test
OC-009,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Measure fathometer readings against charts,Knowledge/Performance Test
OC-010,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute advance and transfer for turns,Knowledge/Performance Test
OC-011,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute anchor chain scopes,Knowledge/Performance Test
OC-012,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute course and speed made good,Knowledge/Performance Test
OC-013,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute estimated time of arrival (eta),Knowledge/Performance Test
OC-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-015,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute gyro compass errors by using visual aids to navigation,Knowledge/Performance Test
OC-016,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute tides and currents,Knowledge/Performance Test
OC-017,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Compute zonetime (ZT) using zone description,Knowledge/Performance Test
OC-018,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Configure navigation task/running lights,Knowledge/Performance Test
OC-019,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Convert arc to time/time to arc,Knowledge/Performance Test
OC-020,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correct navigational charts,Knowledge/Performance Test
OC-021,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Correlate lookout information with radar presentations,Knowledge/Performance Test
OC-022,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine latitude and longitude from plotted positions on navigational charts,Knowledge/Performance Test
OC-023,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine magnetic compass errors using gyro compass,Knowledge/Performance Test
OC-024,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine required speed of advance (SOA),Knowledge/Performance Test
OC-025,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Determine ship’s position using fathometer, running fixes, sextant angles, GPS and radar",Knowledge/Performance Test
OC-026,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine ship's position relative to plan of intended movement (PIM),Knowledge/Performance Test
OC-027,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine type of ocean bottom,Knowledge/Performance Test
OC-028,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine variation on charts,Knowledge/Performance Test
OC-029,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Execute sunrise, morning and evening colors",Knowledge/Performance Test
OC-030,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Graph currents using the ""straight line method ""showing a slack water reference line, with flood values and ebb values displayed above and below the slack water reference line, respectively",Knowledge/Performance Test
OC-031,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Graph tides and currents,Knowledge/Performance Test
OC-032,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Interpret lights/beacons using stopwatch,Knowledge/Performance Test
OC-033,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Incorporate lookout information with navigation plot,Knowledge/Performance Test
OC-034,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-035,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain administrative records (i.e., deck logs, position logs, bearing books, etc.)",Knowledge/Performance Test
OC-036,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-037,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
OC-038,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Maintain halyards/halyard blocks/retrievers/tiedowns,Knowledge/Performance Test
OC-039,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Make movement reports (MOVREP),Knowledge/Performance Test
OC-040,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Make positional reports,Knowledge/Performance Test
OC-041,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Make weather reports,Knowledge/Performance Test
OC-042,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Measure distances on navigational charts,Knowledge/Performance Test
OC-043,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Navigate ship during reduced visibility,Knowledge/Performance Test
OC-044,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
OC-045,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Obtain visual bearings using alidades,Knowledge/Performance Test
OC-046,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform external communications,Knowledge/Performance Test
OC-047,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform man overboard procedures,Knowledge/Performance Test
OC-048,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-049,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plan anchorage areas,Knowledge/Performance Test
OC-050,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot advance and transfer for turns,Knowledge/Performance Test
OC-051,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot danger bearings and ranges,Knowledge/Performance Test
OC-052,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot dead reckoning (DR) track,Knowledge/Performance Test
OC-053,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot danger bearings and ranges,Knowledge/Performance Test
OC-054,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot departure and approach points for great circle sailing,Knowledge/Performance Test
OC-055,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot man overboard positions,Knowledge/Performance Test
OC-056,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot mine warfare information,Knowledge/Performance Test
OC-057,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot navigation hazards,Knowledge/Performance Test
OC-058,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot navigation points,Knowledge/Performance Test
OC-059,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot pickup and drop-off points,Knowledge/Performance Test
OC-060,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot plan of intended movement (PIM) tracks,Knowledge/Performance Test
OC-061,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot relative bearings,Knowledge/Performance Test
OC-062,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot ship's position during navigation detail,Knowledge/Performance Test
OC-063,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Obtain visual bearings using alidades,Knowledge/Performance Test
OC-064,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Incorporate lookout information with navigation plot,Knowledge/Performance Test
OC-065,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot swept channel,Knowledge/Performance Test
OC-066,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot weather message information,Knowledge/Performance Test
OC-067,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare bridge for special evolutions,Knowledge/Performance Test
OC-068,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
OC-069,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Prepare navigation briefs,Knowledge/Performance Test
OC-070,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare restricted water tracks,Knowledge/Performance Test
OC-071,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare weather observation reports,Knowledge/Performance Test
OC-072,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report aids to navigation,Knowledge/Performance Test
OC-073,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Report audible and visual information (e.g., sound signals, lights, flags, etc.)",Knowledge/Performance Test
OC-074,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts,Knowledge/Performance Test
OC-075,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report foreign flags,Knowledge/Performance Test
OC-076,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine rules of the road (ROR) signals,Knowledge/Performance Test
OC-077,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-078,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
OC-079,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Signal watercraft or boats,Knowledge/Performance Test
OC-080,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
OC-081,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-082,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Test communication systems,Knowledge/Performance Test
OC-083,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Monitor helm/lee helm operations,Knowledge/Performance Test
OC-084,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Determine latitude and longitude from plotted positions on navigational charts; determine ship’s position using fathometer, running fixes, sextant angles, GPS, radar",Knowledge/Performance Test
OC-085,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-086,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Verify water depth is safe for navigation,Knowledge/Performance Test
OC-087,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform navigation administrative responsibilities,Knowledge/Performance Test
OC-088,QM,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Archive electronic navigation data,Knowledge/Performance Test
OC-089,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Compute visibility of light,Knowledge/Performance Test
OC-090,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform honors procedures,Knowledge/Performance Test
OC-091,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform navigation administrative responsibilities,Knowledge/Performance Test
OC-092,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Perform tactical signal encoding/decoding procedures, ",Knowledge/Performance Test
OC-093,QM,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Plot departure and approach points for great circle sailing,Knowledge/Performance Test
OC-094,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test
OC-095,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-096,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-097,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-098,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-099,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test
OC-100,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-101,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-016,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform compass maintenance procedures,Knowledge/Performance Test
PM-017,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform compass maintenance procedures,Knowledge/Performance Test
PM-018,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform compass maintenance procedures,Knowledge/Performance Test
PM-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-025,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-026,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-027,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-028,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-029,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-030,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-031,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-032,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-033,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-034,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-035,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-036,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-037,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-038,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-039,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-040,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-041,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-042,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-043,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-044,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-045,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-046,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-047,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-048,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-049,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-050,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-051,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-052,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-053,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-054,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-055,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-056,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-057,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-058,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-059,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-060,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-061,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-062,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-063,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-064,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-065,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-066,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-067,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-068,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-069,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-070,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-071,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ12-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ12-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ12-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ13-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-005,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-006,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-007,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-008,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-009,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-010,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-011,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-012,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-013,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-014,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-015,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-016,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-017,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-018,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-019,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-020,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-021,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-022,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-023,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ14-024,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-001,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-002,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-003,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ15-004,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
