PART I,,,,,,,,,,,PART II,,,,,,,,,Part III Cluster Analysis,,,,,,,,,,
Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Estimated Instructional Time,Notes
PQ9-038,QM,E5,J,Work Center Supervisor,Maintenance,NAVEDTRA 43241-P (303 - Work Center Supervisor),8/19/2019,300 Series PQS Watch Station,Prepare and submit a non-technical and technical FBR in SKED,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Describe the purpose of PMS Feedback Reports; DISCUSS management of PMS Feedback Reports; Review PMS Feedback Reports prior to submission; State the procedures for preparing Technical Feedback Reports (TFBR); State the procedures for processing TFBRs,Knowledge/Performance Test,Does not specifically cover SKED FBR Manager,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ9-039,QM,E5,J,Work Center Supervisor,Maintenance,NAVEDTRA 43241-P (303 - Work Center Supervisor),8/19/2019,300 Series PQS Watch Station,Prepare and submit an Urgent FBR,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ9-040,QM,E5,J,Work Center Supervisor,Maintenance,NAVEDTRA 43241-P (303 - Work Center Supervisor),8/19/2019,300 Series PQS Watch Station,Demonstrate the ability to generate a report in SKED 3.2,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-001,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate a cycle PMS Schedule (SKED 3.1 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-002,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate a quarterly PMS schedule (SKED 3.1 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-003,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate PMS schedule (SKED 3.2 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-004,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,"Validate revisions (i.e. ACN, FBR, Admin, FR)",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-005,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate divisional equipment associations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-006,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify equipment in IEM category status and notes,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-007,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Conduct an audit of the Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-008,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify W/C 13-Week Accountability Log and close out weekly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-009,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform weekly close out (SKED 3.2 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-010,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Non-technical (Cat. A) PMS FBR ,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Describe the purpose of PMS Feedback Reports; discuss management of PMS Feedback Reports; Review PMS Feedback Reports prior to submission,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-011,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Technical (Cat. B) PMS FBR ,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,State the procedures for preparing Technical Feedback Reports (TFBR); State the procedures for processing TFBRs,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-012,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Urgent PMS FBR ,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-013,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve Work Candidates,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-014,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve Configuration Item/Alteration,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-015,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review Supplemental Form (OPNAV 4790/2L),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-016,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify the accuracy of the CSMP,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Review the CSMP for accuracy,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-017,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and recommend approval for requested parts,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-018,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform PMS spot-check utilizing Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-019,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform a spot-check using HAZMAT,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-020,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform monitored maintenance check using Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-021,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform monitored maintenance using HAZMAT,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-022,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Change page,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-023,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the LOEP,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-024,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the MIPs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-025,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the MRCs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-026,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the EGLs (SKED 3.1 only),All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-027,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the LGLs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-028,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Requirements reference sheets/R-Check Report,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-029,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Procedural line out on MRC,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-030,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify customize MRC in SKED 3.2,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-031,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,"Review global and local event triggers, states and meters",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-032,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate Work Centers split against 3MC split MIP log and M file,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-033,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Generate a CASREP,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-034,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify CASREP,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-035,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Assist 3MC in conducting command self-assessment,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ10-036,QM,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate that all divisional maintenance personnel ABCG qualifications/requirements are met,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,State the purpose of 3-M training and qualification; maintain an auditable tracking record of Command PQS Qualifications; discuss the importance of maintaining an auditable tracking record of Command PQS Qualifications,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-001,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Perform a 3-M assessment of a department,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-002,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Perform administrative duties with MRAS,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-003,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Perform operations using the MRAS Material Assessment Tools,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-004,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Access current status MFOM-e page in MRAS,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-005,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Generate reports using MRAS Regional Maintenance Center (RMC) tools to include,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-006,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Perform operations available on the MRAS Utilities tab to include,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-007,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Distribute 3-M documents to include a FR for the department,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-008,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Consolidate data and reports from all Divisions and Work Centers within the Department for review by Department Head,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-009,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,"Access and review the following: Departmental CSMP, All PMS schedules with the department, Review implementation of completed FBRs",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-010,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,Review departmental and command Spot Check program,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ11-011,QM,E5,J,Departmental Maintenance and Material Management (3-M) Assistant,Maintenance,NAVEDTRA 43241-P (305 - Departmental Maintenance and Material Management [3-M] Assistant),8/19/2019,300 Series PQS Watch Station,"Ensure quarterly schedules are maintained, in accordance with TYCOM directives",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ12-001,QM,E1,A,Anchor Watch,Equipment Administration,NAVEDTRA 43397-F (301 Anchor Watch),10/2/2017,300 Series PQS Watch Station,Inspect ground tackle,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ12-002,QM,E1,A,Anchor Watch,Communications,NAVEDTRA 43397-F (301 Anchor Watch),10/2/2017,300 Series PQS Watch Station,Relieve the watch,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ12-003,QM,E1,A,Anchor Watch,Equipment Administration,NAVEDTRA 43397-F (301 Anchor Watch),10/2/2017,300 Series PQS Watch Station,"Observe an anchor chain under light, moderate, and heavy strain and make appropriate reports to the bridge",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-001,QM,E1,A,Messenger of the Watch,Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Read all applicable instructions prior to assuming watch,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-002,QM,E1,A,Messenger of the Watch,Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Assume the watch,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-003,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Answer quarterdeck telephones,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-004,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Make 12 o'clock reports ,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-005,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Observe sunrise,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-006,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Observe sunset,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-007,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Execute morning colors,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-008,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Execute evening colors,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-009,QM,E1,A,Messenger of the Watch,Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Assist with the control of liberty parties leaving/returning to ship,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-010,QM,E1,A,Messenger of the Watch,Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Execute calls in the Wake-Up Log,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-011,QM,E1,A,Messenger of the Watch,Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Maintain quarterdeck cleanliness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-012,QM,E1,A,Messenger of the Watch,Equipment Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Check ships boats moored to pier/boat boom,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-013,QM,E1,A,Messenger of the Watch,Equipment Administration,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Man sound-powered telephone,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
PQ13-014,QM,E1,A,Messenger of the Watch,Communications,NAVEDTRA 43397-F (302 Messenger of the Watch),10/2/2017,300 Series PQS Watch Station,Man IVCS emergency net,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
