,Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS-482,1660,ALL,E7,M,General Sailor,Security Requirements,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Train personnel in the security policies, requirements, and procedures for handling classified material and information",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-483,1661,ALL,E7,M,General Sailor,Security Requirements,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assess communications vulnerabilities to critical information and make recommendations for countermeasures if needed,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-484,1662,ALL,E7,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the duties of Casualty Assistance Calls Officer (CACO),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-485,1663,ALL,E7,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the five factors that commanders consider when approving a request for religious accommodation,All Sailor Task (ships),No,A-500-0009,Command Managed Equal Opportunity Program Manager Course,F-School,CENSERVSUPP,CTTL,Advise the Command on the Navy's policy on Religious accommodation,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-486,1664,ALL,E7,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the process for requesting an immunization or Deoxyribonucleic Acid (DNA) waiver based on a sailor's religious objection,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-487,1665,ALL,E7,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify controls and resources that the command can create to reduce risk to personnel (reduce risk to force),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-488,1666,ALL,E7,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify resources external to your command to support integration and implementation of risk management concepts and processes in your command,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-489,1667,ALL,E7,M,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify workplace safety measures mandated by Industrial Hygiene (IH) survey,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Manage Safety Programs,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-490,1668,ALL,E7,M,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor workplace safety measures mandated by Industrial Hygiene (IH) survey ,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-491,1669,ALL,E7,M,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor workplace occupational health exam(s) mandated by Industrial Hygiene (IH) survey and NAVOSH for sailors assigned,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-492,1670,ALL,E7,M,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Initiate a workplace Accident/Injury Report,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-001,427,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate a cycle PMS Schedule (SKED 3.1 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-002,428,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate a quarterly PMS schedule (SKED 3.1 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-003,429,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate PMS schedule (SKED 3.2 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-004,430,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,"Validate revisions (i.e. ACN, FBR, Admin, FR)",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-005,431,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate divisional equipment associations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-006,432,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify equipment in IEM category status and notes,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-007,433,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Conduct an audit of the Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-008,434,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify W/C 13-Week Accountability Log and close out weekly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-009,435,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform weekly close out (SKED 3.2 only),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-010,436,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Non-technical (Cat. A) PMS FBR ,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Describe the purpose of PMS Feedback Reports; discuss management of PMS Feedback Reports; Review PMS Feedback Reports prior to submission,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-011,437,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Technical (Cat. B) PMS FBR ,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,State the procedures for preparing Technical Feedback Reports (TFBR); State the procedures for processing TFBRs,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-012,438,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve a Urgent PMS FBR ,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-013,439,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve Work Candidates,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-014,440,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and approve Configuration Item/Alteration,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-015,441,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review Supplemental Form (OPNAV 4790/2L),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-016,442,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify the accuracy of the CSMP,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Review the CSMP for accuracy,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-017,443,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Review and recommend approval for requested parts,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-018,444,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform PMS spot-check utilizing Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-019,445,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform a spot-check using HAZMAT,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-020,446,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform monitored maintenance check using Tag-Out/Lock-Out system,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-021,447,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform monitored maintenance using HAZMAT,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-022,448,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Change page,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-023,449,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the LOEP,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-024,450,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the MIPs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-025,451,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the MRCs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-026,452,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the EGLs (SKED 3.1 only),All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-027,453,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the LGLs,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-028,454,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Requirements reference sheets/R-Check Report,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-029,455,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Perform an audit of the Procedural line out on MRC,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,Conduct a Workcenter Audit,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-030,456,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify customize MRC in SKED 3.2,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-031,457,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,"Review global and local event triggers, states and meters",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-032,458,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate Work Centers split against 3MC split MIP log and M file,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-033,459,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Generate a CASREP,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-034,460,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Verify CASREP,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-035,461,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Assist 3MC in conducting command self-assessment,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ10-036,462,ALL,E7,M,LCPO/Division Officer,Maintenance,NAVEDTRA 43241-P (304 - LCPO/Division Officer),8/19/2019,300 Series PQS Watch Station,Validate that all divisional maintenance personnel ABCG qualifications/requirements are met,All Sailor Task (ships),No,J-500-0029F,3M System Coordinator/Inspector,F-School,SWSC,CTTL,State the purpose of 3-M training and qualification; maintain an auditable tracking record of Command PQS Qualifications; discuss the importance of maintaining an auditable tracking record of Command PQS Qualifications,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
