PART I,,,,,,,,,,PART II,,,,,,,,,,,
Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Respond to ruptured hose/piping Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Secure fueling station,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Secure portable fuel/defuel equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Setup fueling station to refuel and defuel aircraft,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Setup portable fueling/defueling equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,Deck Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (303 Refueling Crewman),10/01/09,300 Series PQS Watch Station,Utilize grounding procedures,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to flight deck fire or crash Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to fuel station fire Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to hangar deck fire Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to loss of communications Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to loss of electrical continuity Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to loss of LP air Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to loss/low/excessive service pressure Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Obtain aircraft fuel load,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to ruptured hose/piping/fuel spill Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise aircraft refueling utilizing stations and portable equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise defueling of aircraft,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,CTTL,Supervise aircraft defueling,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise flushing and obtaining samples,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise fueling of support equipment and ship's boats/LCAC,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise hot refueling of aircraft,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise hot refueling of helicopter,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Supervise securing of fueling stations and portable equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Verify alignment of fueling station,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,CTTL,Perform alignment of aircraft fueling stations,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E4,A,Aviation Fuels Flight Deck Operations Technician,Supervisor,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (304 Refueling Crew Leader),10/01/09,300 Series PQS Watch Station,Respond to well deck fire Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Calibrate and operate the following fuel test equipment: B-2 (FSII) test kit,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Calibrate and operate the following fuel test equipment: CFD/CCFD,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Calibrate and operate the following fuel test equipment: Flash point tester/NAVIFLASH,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Calibrate and operate the following fuel test equipment: Free Water Detector,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Clean and dry sample bottles,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to commingling of fuel Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to contaminated fuel in aircraft Alarms/Limitations/Emergencies,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify combined contaminated fuel detector (CCFD) components,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to eye wash alarm Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to fuel system casualty/ fire/crash/ flooding Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to gross contamination in JP-5 system Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Initiate/monitor/report fuel station isolation,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to insufficient FSII levels Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Interpret fuel requirements as shown on daily air plan,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to loss of communications Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to low flash point Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Maintain fuel system/ equipment status,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Maintain fuel test equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Maintain normal communications,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Maintain quality surveillance records,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports","Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Make appropriate reports,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Respond to mercury exposure Alarms/Limitations/Emergencies,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Monitor aircraft status,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Monitor all fueling and defueling operations,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Obtain and process defuel/ transfer requests,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Obtain and test samples during fuel onload,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Obtain and test samples from aircraft before defueling,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Obtain and test samples when utilizing transfer cart,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Obtain fuel samples from fuel nozzles under flow conditions,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Perform specific gravity test,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Prepare correlation samples for delivery to regional lab,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Record daily fuel issues,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports","Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (305 Quality Surveillance Sentry),10/01/09,300 Series PQS Watch Station,Visually examine fuel samples,Rating Specific Task,No,C-821-2010,Aviation Boatswain's Mate (F) Course,A-School,CNATT,CTTL,Verify accuracy of sounding reports,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Maintain normal communications,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Monitor all fueling and defueling operations,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Maintain fuel system/ equipment status,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Monitor aircraft status,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Interpret fuel requirements as shown on daily air plan,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Record daily fuel issues,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports","Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Make appropriate reports,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Initiate/monitor/report fuel station isolation,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Obtain and process defuel/ transfer requests,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E5,J,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (306 Control Talker),10/01/09,300 Series PQS Watch Station,Respond to fuel system casualty/ fire/crash/ flooding,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Maintain PMS schedules,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Maintain records and reports,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports","Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Monitor Work Center Training Program,Rating Specific Task,No,C-821-2010,Aviation Boatswain's Mate (F) Course,A-School,CNATT,CTTL,"Manage division personnel, spaces, and administration","Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Supervise drawing of fuel samples,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Supervise preparation of correlation samples for delivery to regional lab and interpret results,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Supervise the operation and maintenance of all test/ lab equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,"Supervise, assign, and track maintenance",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E6,J,Aviation Fuels Flight Deck Operations Technician,QA,NAVEDTRA 43426-4E (Air Department Aviation Fuels Afloat) (307 Quality Surveillance Supervisor),10/01/09,300 Series PQS Watch Station,Verify required fuel samples are taken and identified,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
